"pop","Cntrl_values","X","values","conc","experiment","viability","mean_value"
"C85",0.748,179,0.42,"1000","EXP_2",56.1497326203209,59.0986712461663
"C89",0.506,130,0.506,"0","EXP_2",100,100
"C89",0.506,140,0.586,"4","EXP_2",110.350227708223,110.350227708223
"C89",0.506,150,0.683,"25.6","EXP_2",109.774028165434,109.774028165434
"C89",0.506,160,0.654,"160","EXP_2",67.1415157680235,67.1415157680235
"C89",0.506,170,0.369,"400","EXP_2",72.9249011857708,53.9429701364227
"C89",0.506,180,0.282,"1000","EXP_2",55.7312252964427,61.3212238446092
"GSH1",0.588,122,0.588,"0","EXP_2",100,100
"GSH1",0.588,132,0.62,"4","EXP_2",107.160433403251,107.160433403251
"GSH1",0.588,142,0.661,"25.6","EXP_2",137.053147346263,137.053147346263
"GSH1",0.588,152,0.553,"160","EXP_2",94.0476190476191,83.5889327853766
"GSH1",0.588,162,0.295,"400","EXP_2",50.1700680272109,46.0638512760718
"GSH1",0.588,172,0.355,"1000","EXP_2",60.3741496598639,56.1919530796583
"REF",0.633,121,0.633,"0","EXP_2",100,100
"REF",0.633,131,0.6,"4","EXP_2",94.7867298578199,130.451166815056
"REF",0.633,141,0.721,"25.6","EXP_2",135.272838433212,135.272838433212
"REF",0.633,151,0.731,"160","EXP_2",86.5048392886887,86.5048392886887
"REF",0.633,161,0.264,"400","EXP_2",41.7061611374408,43.1963141997652
"REF",0.633,171,0.312,"1000","EXP_2",49.2890995260664,50.5731269420774
"C44",0.354,185,0.354,"0","EXP_3",100,100
"C44",0.354,195,0.42,"4","EXP_3",103.639971902657,103.639971902657
"C44",0.354,205,0.347,"25.6","EXP_3",98.0225988700565,86.2375950695492
"C44",0.354,215,0.269,"160","EXP_3",75.9887005649718,55.109878756691
"C44",0.354,225,0.263,"400","EXP_3",74.2937853107345,36.2365142696512
"C44",0.354,235,0.307,"1000","EXP_3",86.7231638418079,42.5182305529804
"C58",0.375,186,0.375,"0","EXP_3",100,100
"C58",0.375,196,0.429,"4","EXP_3",100.985033256516,100.985033256516
"C58",0.375,216,0.34,"160","EXP_3",90.6666666666667,65.9231505977377
"C58",0.375,226,0.3,"400","EXP_3",80,44.0219223928168
"C58",0.375,236,0.339,"1000","EXP_3",90.4,48.7156212285475
"C6",0.444,184,0.444,"0","EXP_3",100,100
"C6",0.444,194,0.523,"4","EXP_3",99.5383195443757,99.5383195443757
"C6",0.444,204,0.592,"25.6","EXP_3",92.5054484259347,92.5054484259347
"C6",0.444,214,0.28,"160","EXP_3",63.0630630630631,54.4923030545079
"C6",0.444,224,0.252,"400","EXP_3",56.7567567567568,32.654129740229
"C6",0.444,234,0.297,"1000","EXP_3",66.8918918918919,40.4606103967734
"C67",0.306,187,0.306,"0","EXP_3",100,100
"C67",0.306,197,0.428,"4","EXP_3",108.390999610193,108.390999610193
"C67",0.306,207,0.434,"25.6","EXP_3",111.461651507423,111.461651507423
"C67",0.306,217,0.316,"160","EXP_3",67.902088609908,67.902088609908
"C67",0.306,227,0.267,"400","EXP_3",87.2549019607843,50.9993393919095
"C67",0.306,237,0.323,"1000","EXP_3",52.8910132117775,52.8910132117775
"C7",0.38,183,0.38,"0","EXP_3",100,100
"C7",0.38,193,0.47,"4","EXP_3",109.659111925796,109.659111925796
"C7",0.38,203,0.47,"25.6","EXP_3",100.395249714826,100.395249714826
"C7",0.38,213,0.262,"160","EXP_3",68.9473684210526,63.5224735816521
"C7",0.38,223,0.257,"400","EXP_3",67.6315789473684,43.1907428413261
"C7",0.38,233,0.293,"1000","EXP_3",77.1052631578947,55.852634209666
"C73",0.471,188,0.471,"0","EXP_3",100,100
"C73",0.471,198,0.457,"4","EXP_3",97.0276008492569,97.1033929073668
"C73",0.471,208,0.631,"25.6","EXP_3",106.342824507057,106.342824507057
"C73",0.471,218,0.432,"160","EXP_3",91.7197452229299,65.624145289373
"C73",0.471,228,0.333,"400","EXP_3",70.7006369426752,43.6430796115441
"C73",0.471,238,0.331,"1000","EXP_3",70.276008492569,45.6317834061689
"C85",0.366,189,0.366,"0","EXP_3",100,100
"C85",0.366,199,0.567,"4","EXP_3",113.341558591356,113.341558591356
"C85",0.366,209,0.571,"25.6","EXP_3",108.06130619974,108.06130619974
"C85",0.366,219,0.314,"160","EXP_3",85.792349726776,72.5028549060551
"C85",0.366,229,0.211,"400","EXP_3",57.6502732240437,54.177363690308
"C85",0.366,239,0.248,"1000","EXP_3",67.7595628415301,59.0986712461663
"C89",0.257,190,0.257,"0","EXP_3",100,100
"C89",0.257,200,0.36,"4","EXP_3",110.350227708223,110.350227708223
"C89",0.257,210,0.294,"25.6","EXP_3",109.774028165434,109.774028165434
"C89",0.257,220,0.227,"160","EXP_3",88.3268482490272,67.1415157680235
"C89",0.257,230,0.247,"400","EXP_3",96.1089494163424,53.9429701364227
"C89",0.257,240,0.352,"1000","EXP_3",61.3212238446092,61.3212238446092
"GSH1",0.277,182,0.277,"0","EXP_3",100,100
"GSH1",0.277,192,0.312,"4","EXP_3",107.160433403251,107.160433403251
"GSH1",0.277,202,0.608,"25.6","EXP_3",137.053147346263,137.053147346263
"GSH1",0.277,212,0.452,"160","EXP_3",83.5889327853766,83.5889327853766
"GSH1",0.277,222,0.258,"400","EXP_3",93.1407942238267,46.0638512760718
"GSH1",0.277,232,0.323,"1000","EXP_3",56.1919530796583,56.1919530796583
"REF",0.275,181,0.275,"0","EXP_3",100,100
"REF",0.275,191,0.571,"4","EXP_3",130.451166815056,130.451166815056
"REF",0.275,201,0.607,"25.6","EXP_3",135.272838433212,135.272838433212
"REF",0.275,211,0.499,"160","EXP_3",86.5048392886887,86.5048392886887
"REF",0.275,221,0.267,"400","EXP_3",97.0909090909091,43.1963141997652
"REF",0.275,231,0.316,"1000","EXP_3",50.5731269420774,50.5731269420774
