"pop","Cntrl_values","X","values","conc","experiment","viability","mean_value","viability_res"
"C67",1.187,87,1.08,25.6,"EXP_1",90.9856781802864,111.461651507423,81.4641172294258
"C67",1.187,97,0.207,160,"EXP_1",17.4389216512216,67.902088609908,3.14013667734571
"C67",1.187,107,0.172,400,"EXP_1",14.4903117101938,50.9993393919095,0
"C67",1.187,117,0.272,1000,"EXP_1",22.9149115417018,52.8910132117775,8.9718190781306
"C73",1.19,68,1.19,0,"EXP_1",100,100,100
"C73",1.19,78,1.233,4,"EXP_1",97.1033929073668,97.1033929073668,96.5837835081928
"C73",1.19,88,0.926,25.6,"EXP_1",77.8151260504202,106.342824507057,73.8354806739347
"C73",1.19,98,0.317,160,"EXP_1",26.6386554621849,65.624145289373,13.4786917740338
"C73",1.19,108,0.181,400,"EXP_1",15.2100840336134,43.6430796115441,0
"C73",1.19,118,0.275,1000,"EXP_1",23.109243697479,45.6317834061689,9.31615460852335
"C85",1.003,69,1.003,0,"EXP_1",100,100,100
"C85",1.003,79,0.98,4,"EXP_1",97.7068793619143,113.341558591356,97.1499380421314
"C85",1.003,89,0.605,25.6,"EXP_1",60.3190428713858,108.06130619974,50.6815365551424
"C85",1.003,99,0.298,160,"EXP_1",29.7108673978066,72.5028549060551,12.6394052044609
"C85",1.003,109,0.196,400,"EXP_1",19.5413758723829,54.177363690308,0
"C85",1.003,119,0.28,1000,"EXP_1",27.9162512462612,59.0986712461663,10.4089219330854
"C89",1.187,70,1.187,0,"EXP_1",100,100,88.8398601950061
"C89",1.187,80,1.207,4,"EXP_1",110.350227708223,110.350227708223,100
"C89",1.187,90,1.308,25.6,"EXP_1",109.774028165434,109.774028165434,99.3787124656214
"C89",1.187,100,0.209,160,"EXP_1",17.6074136478517,67.1415157680235,0
"C89",1.187,110,0.273,400,"EXP_1",22.9991575400168,53.9429701364227,5.81365138290426
"C89",1.187,120,0.331,1000,"EXP_1",27.8854254422915,61.3212238446092,11.0822729486613
"GSH1",0.588,122,0.588,0,"EXP_2",100,100,57.3528612974266
"GSH1",0.588,132,0.62,4,"EXP_2",107.160433403251,107.160433403251,65.5943203471876
"GSH1",0.588,142,0.661,25.6,"EXP_2",137.053147346263,137.053147346263,100
"GSH1",0.588,152,0.553,160,"EXP_2",94.0476190476191,83.5889327853766,50.5018369103621
"GSH1",0.588,162,0.295,400,"EXP_2",50.1700680272109,46.0638512760718,0
"GSH1",0.588,172,0.355,1000,"EXP_2",60.3741496598639,56.1919530796583,11.7446132349678
"REF",0.633,121,0.633,0,"EXP_2",100,100,62.301922593968
"REF",0.633,131,0.6,4,"EXP_2",94.7867298578199,130.451166815056,56.7302059392229
"REF",0.633,141,0.721,25.6,"EXP_2",135.272838433212,135.272838433212,100
"REF",0.633,151,0.731,160,"EXP_2",86.5048392886887,86.5048392886887,47.8788810781812
"REF",0.633,161,0.264,400,"EXP_2",41.7061611374408,43.1963141997652,0
"REF",0.633,171,0.312,1000,"EXP_2",49.2890995260664,50.5731269420774,8.10431513417471
